Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Type	Season
1961	1	151.7	167	192.3000001	173.4	40.09999999	56.89999999	143.4	143.7	85.89999998	449.4	292.7999998	N	532.7000001
1962	115	10.2	176.5	249.1	358	108.2	64.40000001	53.29999998	125.8	81.59999999	125.1	87.09999999	N	783.6
1963	150.1	125.1	142.3	285.2	220.9999999	71.79999998	29.49999999	91.20000002	18.8	58.10000001	168.9	132.7	N	648.4999999
1964	42.5	219.7	162.9	309.3	112.9	119	101.2	60.40000004	101	51.89999998	73.49999997	127.2	E	585.1
1965	86.69999996	22.09999999	184.1999999	264.4999999	227.4999999	37.29999998	55.89999998	20.2	139.4	143.2	151.2	70.39999998	L	676.1999997
1966	40.69999999	257.8000001	227.4999999	230.9999999	99.30000001	53.99999999	71.89999998	140.7	60	64.70000002	54.09999998	8.599999998	E	557.7999998
1967	14.9	31.3	101.7	160.9	197.0999999	46.19999999	16.2	17.7	143.2	88.59999996	335	72.90000001	N	459.6999999
1968	31.49999999	185.2	196.2	340.6999998	96.09999996	173.1	51.19999999	72.10000002	81.29999998	195.1	155.6	212.8999999	N	632.9999998
1969	112.3	193.1	145.8	94.19999996	159.8	50.09999999	48.39999999	63.2	51.09999998	110.3	138.8999999	50.89999999	E	399.8
1970	204.3	70.40000001	223.8999999	193	104	65.80000001	13.3	66.70000002	54.3	80.40000001	68.90000001	137.6	E	520.8999999
1971	5.800000001	11.4	73.29999998	341.9	288.4999999	38.10000001	32.3	96.69999999	47.7	169.9999999	92	138.2	L	703.6999999
1972	11.89999999	116.5	70.80000001	194.4	192.2000002	105.5	75.70000002	155.1999999	92.99999997	151.1	225.4999999	62	L	457.4000002
1973	132.2	102.3	13.8	218.3	233.6	33.99999999	15.5	77.29999998	68.09999996	13.2	104	19.8	E	465.7
1974	11.4	27.7	149.3	305.6999999	70.80000001	104.4	135.0999999	68.69999999	87.90000001	40.19999999	130.9	63.69999999	L	525.7999999
1975	19.2	52.60000001	280	164.4999999	167.9999999	34.60000001	38.5	159.7	79.49999997	86.39999998	63.8	105.6	L	612.4999998
1976	82.19999996	67.40000001	32.89999999	331.3000001	71.29999998	40.5	88.79999998	113.4	144.1	52.39999999	139.8	112	L	435.5000001
1977	71.39999998	83	149.2	295.9000001	287.4	89.59999996	93.39999995	109	19.9	101.1	181.7	84.39999998	E	732.5000001
1978	146.5	177.2	239.5000001	213.3	195.8999999	92.49999997	88.20000002	123.2	113.8	104.2	143.4	129.4	E	648.7
1979	61.90000001	233.9	216.8	162.1	142.4	57	61.19999999	88.59999999	81.80000001	23.79999999	163.3	175.9999999	N	521.3
1980	44.19999999	45.39999999	177.7	223.4999999	117.7	66.19999999	88.5	38.8	73.5	89.90000001	74.89999998	66	N	518.8999999
1981	39.3	30.5	305.9999999	95.20000002	168.6999999	78.09999993	75.59999999	112.6	54.09999999	15.4	73.30000001	72.19999999	N	569.8999998
1982	48.5	68.99999997	60.7	112.7	81.29999998	170.3	91.40000001	80.70000002	152.2999999	169.3999999	318.0999999	93.79999998	N	254.7
1983	15.39999999	46.39999999	39.60000001	253.6	120.2	100.4	27.3	87.99999997	42.49999999	140.9	191.3	79.39999995	E	413.4
1984	44.7	50.59999999	34.09999999	143.2000001	125.5999999	57.10000001	194.5999999	119.3	92.99999997	66.90000001	228.7	73.29999998	L	302.9
1985	96.79999998	85	247.2	220.9	226.8	110.8	87.19999996	56.90000001	63.2	41.5	47.39999999	68.90000001	L	694.9
1986	68	88.29999995	228.4	274.6999999	145.5000001	72.09999999	102.6	38.59999999	104.8999999	68.89999998	94.80000001	89.59999996	N	648.6
1987	60.89999999	136.0000001	164.3	127.9	121.1	162.6	32.19999999	28.19999999	113.2	187.8	119.1999999	41	E	413.3
1988	175.2	9.899999999	151.9	397.2000002	82.70000002	57.09999999	131.6	26.09999999	103.1	45.79999998	161.6	79.59999999	E	631.8000002
1989	78.69999999	127.4	202.2999999	170.9	186.3	57.2	16.7	82.49999997	103.4	140.2	80.69999999	122.3	L	559.4999999
1990	48.59999999	180.2999999	257.4	128.8	73.39999998	38.89999999	44.69999999	136.9999999	54.39999999	40.8	74.19999999	94.09999999	N	459.6
1991	110.4	42.30000001	184.3999999	184.8	294.4999999	84.99999997	28.9	30.49999999	108.2	202.8000001	33	32.3	N	663.6999998
1992	14.9	65.79999998	51.2	215.6	135.3	219.9	58.8	114.6	125.2	97	85.29999998	67	E	402.1
1993	91.79999995	47.3	172.3	98.79999998	245	133.8	15.5	91.79999995	41.29999998	77.90000001	38.09999999	84.29999998	N	516.1
1994	18.4	32.8	375	213.9	217.6	62.99999999	110.8	47.5	45.89999999	40	289.9	47.8	N	806.5
1995	61	93.00000003	151.9	292.1999999	171.0999999	83.30000001	78	35.5	85.89999998	233.9	107.1	58.8	E	615.1999998
1996	74.69999999	132.8	291.3	152.9999999	211.6	104.6	60.40000001	61.59999998	133.3	72.30000001	189.7	54.90000001	L	655.8999999
1997	73.29999998	0.3	126.3	218.9	170.3	83.29999998	38	68.79999998	7.999999998	147.2	158.4	517.8999999	N	515.5
1998	218.2999999	58.79999998	109.1	248.2	118.1	140.4999999	24.8	11.6	80.89999998	191.7	45.49999999	22.99999999	E	475.4
1999	107.4	3.899999999	281.9999999	216.8	175.4	87.90000004	88.39999995	152.6	95.69999996	61.59999998	143.6	96	L	674.1999999
2000	65.30000001	8.800000001	109.5	137.5999999	154.1	92.30000001	68.70000002	48.39999999	108.4	77.50000003	169.6999999	174.6	L	401.1999999
2001	317.2	36.19999999	116.7	129.8000001	103.9999999	74.69999999	62.59999999	116.9	271.7	115.8	83.69999996	62.19999999	L	350.5
2002	128	35	253.3	306.8000001	197.1999999	52.3	76	39.59999999	116.2	77.19999996	203.1	133.8	N	757.3
2003	54.89999999	32.89999999	170.4	274.9999999	113.2	63.79999998	43.99999999	164.2	117.5	55.89999999	47	113.5999999	E	558.5999999
2004	158.8	49.3	80.09999999	323.5999999	37.39999999	36.59999999	26.7	115.5	220.2	85.60000002	121.6	136.5	N	441.0999999
2005	91.99999997	53.19999999	142.1	162.9	248.3	50.89999999	55.2	81.70000002	34.59999999	82.79999995	90.79999998	5.4	E	553.3
2006	82.59999999	30.3	176.6999999	239.9	127.5	105	33.7	59.69999999	98.59999996	105.3999999	346.1999999	283.9999999	L	544.0999999
2007	100.6	143.7	154.1	103.3	143.3	80.69999996	143.4999999	64.40000001	58.60000001	21	0	59.09999999	E	400.7
2008	27.9	0	164.6	152.1999999	165.2	106.7	127.2	90.79999998	149.7	206.1999999	143.4	37.69999999	L	481.9999999
2009	114.2	45.89999999	79.90000001	273.6999999	124.8	27.6	30.7	79.59999999	148.1	48.30000001	123.8	186.0000001	L	478.3999999
2010	96.90000001	109.7	175.4999999	307.4000001	195.3	30.7	14	138.4	158.2	76.10000002	47.2	141.1	E	678.2
